Strike,Mu = 5.0,Mu = 40.0,Mu = 90.0,Mu = 150.0
0.0808,3.206391946,3.206391946,3.206391946,3.206391946
0.0816,2.966445292,2.966445292,2.966445292,2.966445292
0.0824,2.745500788,2.745500788,2.745500788,2.745500788
0.0832,2.542070198,2.542070198,2.542070198,2.542070198
0.084,2.354765314,2.354765314,2.354765314,2.354765314
0.0848,2.18229542,2.18229542,2.18229542,2.18229542
0.0856,2.023463764,2.023463764,2.023463764,2.023463764
0.0864,1.877163335,1.877163335,1.877163335,1.877163335
0.0872,1.742372193,1.742372193,1.742372193,1.742372193
0.088,1.618148548,1.618148548,1.618148548,1.618148548
0.0888,1.503625724,1.503625724,1.503625724,1.503625724
0.0896,1.39800714,1.39800714,1.39800714,1.39800714
0.0904,1.300561382,1.300561382,1.300561382,1.300561382
0.0912,1.210617431,1.210617431,1.210617431,1.210617431
0.092,1.127560091,1.127560091,1.127560091,1.127560091
0.0928,1.050825648,1.050825648,1.050825648,1.050825648
0.0936,0.979897775,0.979897775,0.979897775,0.979897775
0.0944,0.914303689,0.914303689,0.914303689,0.914303689
0.0952,0.853610573,0.853610573,0.853610573,0.853610573
0.096,0.797422235,0.797422235,0.797422235,0.797422235
0.0968,0.745376034,0.745376034,0.745376034,0.745376034
0.0976,0.69714002,0.69714002,0.69714002,0.69714002
0.0984,0.652410313,0.652410313,0.652410313,0.652410313
0.0992,0.610908691,0.610908691,0.610908691,0.610908691
0.1,0.572345211,0.57105033,0.569201246,0.566981993
0.1008,0.536322142,0.529177142,0.518973811,0.506729458
0.1016,0.502825208,0.490108654,0.471951318,0.45017158
0.1024,0.471730893,0.454894905,0.430872482,0.402086352
0.1032,0.442844899,0.423093845,0.39495288,0.361296388
0.104,0.415990382,0.394319406,0.363519161,0.326801413
0.1048,0.391006237,0.368233685,0.33599106,0.297745699
0.1056,0.367745558,0.344540325,0.311866657,0.273392134
0.1064,0.346074261,0.32297889,0.290710261,0.253101535
0.1072,0.325869859,0.30332009,0.272142423,0.236316122
0.108,0.307020358,0.28536169,0.255831665,0.22254631
0.1088,0.289423268,0.268925022,0.241487625,0.211360142
0.1096,0.27298472,0.253851984,0.228855344,0.202374838
0.1104,0.257618668,0.240002468,0.21771049,0.19525002
0.1112,0.24324617,0.227252132,0.207855363,0.189682291
0.112,0.229794748,0.215490486,0.199115522,0.185400866
0.1128,0.217197803,0.204619223,0.191336936,0.182164061
0.1136,0.205394092,0.194550782,0.184383572,0.179756426
0.1144,0.194327254,0.185207085,0.178135322,0.177986406
0.1152,0.183945382,0.176518447,0.172486239,0.176684383
0.116,0.174200638,0.168422613,0.167343002,0.17570102
0.1168,0.165048898,0.160863926,0.16262359,0.174905829
0.1176,0.15644944,0.153792584,0.158256122,0.174185886
0.1184,0.148364652,0.147163998,0.154177829,0.173444665
0.1192,0.140759773,0.14093822,0.150334151,0.172600943
0.12,0.133602654,0.135079437,0.146677927,0.171587747
0.1208,0.12686354,0.129555531,0.143168667,0.170351335
0.1216,0.12051488,0.124337679,0.139771893,0.168850183
0.1224,0.114531142,0.119400009,0.136458546,0.167053988
0.1232,0.108888652,0.114719282,0.133204433,0.164942666
0.124,0.103565444,0.110274622,0.129989729,0.162505361
0.1248,0.098541129,0.106047262,0.126798514,0.159739456
0.1256,0.093796763,0.102020332,0.123618347,0.156649603
0.1264,0.089314742,0.098178655,0.120439872,0.153246765
0.1272,0.085078692,0.094508574,0.11725645,0.149547289
0.128,0.081073377,0.090997796,0.114063822,0.145572008
0.1288,0.077284611,0.087635245,0.110859797,0.141345386
0.1296,0.07369918,0.084410942,0.107643958,0.136894702
0.1304,0.070304766,0.081315888,0.104417403,0.132249299
0.1312,0.067089884,0.078341961,0.10118249,0.127439873
0.132,0.064043816,0.075481825,0.097942619,0.122497839
0.1328,0.061156556,0.072728851,0.094702026,0.117454747
0.1336,0.058418759,0.070077035,0.091465594,0.112341772
0.1344,0.055821692,0.067520939,0.088238683,0.107189261
0.1352,0.053357191,0.065055628,0.085026986,0.102026356
0.136,0.051017617,0.062676616,0.081836389,0.09688067
0.1368,0.048795824,0.060379817,0.078672851,0.091778027
0.1376,0.046685119,0.058161505,0.075542305,0.086742266
0.1384,0.044679232,0.05601827,0.072450564,0.081795091
0.1392,0.042772289,0.053946987,0.069403247,0.076955976
0.14,0.040958782,0.051944783,0.066405711,0.072242112
0.1408,0.039233543,0.050009009,0.063463001,0.067668404
0.1416,0.037591723,0.048137216,0.060579807,0.063247491
0.1424,0.03602877,0.046327129,0.05776043,0.058989807
0.1432,0.034540409,0.044576634,0.055008759,0.054903664
0.144,0.033122621,0.042883751,0.052328256,0.050995358
0.1448,0.031771631,0.041246627,0.049721944,0.047269293
0.1456,0.030483885,0.039663515,0.047192408,0.043728113
0.1464,0.029256044,0.038132765,0.044741795,0.040372853
0.1472,0.028084962,0.036652815,0.042371825,0.037203083
0.148,0.026967678,0.035222174,0.040083801,0.034217066
0.1488,0.025901403,0.03383942,0.037878625,0.031411908
0.1496,0.024883509,0.032503193,0.035756817,0.028783711
0.1504,0.023911519,0.031212182,0.033718533,0.026327715
0.1512,0.022983097,0.029965125,0.031763594,0.024038439
0.152,0.022096039,0.028760801,0.029891501,0.021909815
0.1528,0.021248265,0.027598029,0.028101468,0.019935308
0.1536,0.020437813,0.026475659,0.026392441,0.018108029
0.1544,0.019662828,0.025392575,0.024763126,0.016420843
0.1552,0.018921559,0.024347687,0.023212016,0.014866463
0.156,0.018212351,0.023339931,0.021737411,0.013437529
0.1568,0.01753364,0.022368268,0.020337448,0.012126688
0.1576,0.016883945,0.02143168,0.019010117,0.010926658
0.1584,0.016261867,0.020529171,0.017753292,0.009830282
