Strike,Mu = 5.0,Mu = 40.0,Mu = 90.0,Mu = 150.0,,,
0.08,5.36E-04,5.36E-04,5.36E-04,5.36E-04,,,
0.0808,5.06E-04,5.06E-04,5.06E-04,5.06E-04,,,
0.0816,4.77E-04,4.77E-04,4.77E-04,4.77E-04,,,
0.0824,4.50E-04,4.50E-04,4.50E-04,4.50E-04,,,
0.0832,4.26E-04,4.26E-04,4.26E-04,4.26E-04,,,
0.084,4.02E-04,4.02E-04,4.02E-04,4.02E-04,,,
0.0848,3.81E-04,3.81E-04,3.81E-04,3.81E-04,,,
0.0856,3.60E-04,3.60E-04,3.60E-04,3.60E-04,,,
0.0864,3.41E-04,3.41E-04,3.41E-04,3.41E-04,,,
0.0872,3.23E-04,3.23E-04,3.23E-04,3.23E-04,,,
0.088,3.07E-04,3.07E-04,3.07E-04,3.07E-04,,,
0.0888,2.91E-04,2.91E-04,2.91E-04,2.91E-04,,,
0.0896,2.76E-04,2.76E-04,2.76E-04,2.76E-04,,,
0.0904,2.62E-04,2.62E-04,2.62E-04,2.62E-04,,,
0.0912,2.49E-04,2.49E-04,2.49E-04,2.49E-04,,,
0.092,2.37E-04,2.37E-04,2.37E-04,2.37E-04,,,
0.0928,2.26E-04,2.26E-04,2.26E-04,2.26E-04,,,
0.0936,2.15E-04,2.15E-04,2.15E-04,2.15E-04,,,
0.0944,2.05E-04,2.05E-04,2.05E-04,2.05E-04,,,
0.0952,1.95E-04,1.95E-04,1.95E-04,1.95E-04,,,
0.096,1.86E-04,1.86E-04,1.86E-04,1.86E-04,,,
0.0968,1.77E-04,1.77E-04,1.77E-04,1.77E-04,,,
0.0976,1.69E-04,1.69E-04,1.69E-04,1.69E-04,,,
0.0984,1.62E-04,1.62E-04,1.62E-04,1.62E-04,,,
0.0992,1.55E-04,1.55E-04,1.55E-04,1.55E-04,,,
0.1,1.48E-04,1.48E-04,1.48E-04,1.48E-04,,,
0.1008,1.41E-04,1.41E-04,1.41E-04,1.41E-04,,,
0.1016,1.35E-04,1.35E-04,1.35E-04,1.35E-04,,,
0.1024,1.29E-04,1.29E-04,1.29E-04,1.29E-04,,,
0.1032,1.24E-04,1.24E-04,1.24E-04,1.24E-04,,,
0.104,1.19E-04,1.19E-04,1.18E-04,1.18E-04,,,
0.1048,1.14E-04,1.14E-04,1.13E-04,1.13E-04,,,
0.1056,1.09E-04,1.09E-04,1.08E-04,1.08E-04,,,
0.1064,1.04E-04,1.04E-04,1.04E-04,1.03E-04,,,
0.1072,1.00E-04,9.99E-05,9.93E-05,9.87E-05,,,
0.108,9.62E-05,9.57E-05,9.51E-05,9.42E-05,,,
0.1088,9.24E-05,9.18E-05,9.09E-05,8.99E-05,,,
0.1096,8.87E-05,8.80E-05,8.69E-05,8.57E-05,,,
0.1104,8.53E-05,8.44E-05,8.31E-05,8.16E-05,,,
0.1112,8.20E-05,8.09E-05,7.94E-05,7.77E-05,,,
0.112,7.88E-05,7.76E-05,7.59E-05,7.39E-05,,,
0.1128,7.58E-05,7.44E-05,7.24E-05,7.02E-05,,,
0.1136,7.29E-05,7.13E-05,6.91E-05,6.66E-05,,,
0.1144,7.02E-05,6.84E-05,6.59E-05,6.31E-05,,,
0.1152,6.76E-05,6.56E-05,6.29E-05,5.97E-05,,,
0.116,6.51E-05,6.29E-05,5.99E-05,5.65E-05,,,
0.1168,6.27E-05,6.03E-05,5.70E-05,5.34E-05,,,
0.1176,6.04E-05,5.78E-05,5.43E-05,5.03E-05,,,
0.1184,5.82E-05,5.54E-05,5.16E-05,4.74E-05,,,
0.1192,5.62E-05,5.31E-05,4.91E-05,4.46E-05,,,
0.12,5.42E-05,5.09E-05,4.66E-05,4.19E-05,,,
0.1208,5.23E-05,4.88E-05,4.43E-05,3.94E-05,,,
0.1216,5.04E-05,4.68E-05,4.20E-05,3.69E-05,,,
0.1224,4.87E-05,4.48E-05,3.98E-05,3.45E-05,,,
0.1232,4.70E-05,4.29E-05,3.77E-05,3.23E-05,,,
0.124,4.54E-05,4.11E-05,3.57E-05,3.01E-05,,,
0.1248,4.39E-05,3.94E-05,3.38E-05,2.81E-05,,,
0.1256,4.24E-05,3.77E-05,3.19E-05,2.61E-05,,,
0.1264,4.10E-05,3.61E-05,3.02E-05,2.43E-05,,,
0.1272,3.96E-05,3.46E-05,2.85E-05,2.25E-05,,,
0.128,3.83E-05,3.31E-05,2.69E-05,2.09E-05,,,
0.1288,3.71E-05,3.17E-05,2.53E-05,1.93E-05,,,
0.1296,3.59E-05,3.03E-05,2.38E-05,1.79E-05,,,
0.1304,3.47E-05,2.90E-05,2.24E-05,1.65E-05,,,
0.1312,3.36E-05,2.77E-05,2.11E-05,1.52E-05,,,
0.132,3.25E-05,2.65E-05,1.98E-05,1.40E-05,,,
0.1328,3.15E-05,2.54E-05,1.86E-05,1.29E-05,,,
0.1336,3.05E-05,2.43E-05,1.75E-05,1.18E-05,,,
0.1344,2.96E-05,2.32E-05,1.64E-05,1.08E-05,,,
0.1352,2.87E-05,2.22E-05,1.54E-05,9.89E-06,,,
0.136,2.78E-05,2.12E-05,1.44E-05,9.04E-06,,,
0.1368,2.69E-05,2.02E-05,1.35E-05,8.25E-06,,,
0.1376,2.61E-05,1.93E-05,1.26E-05,7.52E-06,,,
0.1384,2.53E-05,1.85E-05,1.18E-05,6.84E-06,,,
0.1392,2.46E-05,1.76E-05,1.10E-05,6.22E-06,,,
0.14,2.38E-05,1.68E-05,1.02E-05,5.64E-06,,,
0.1408,2.31E-05,1.61E-05,9.55E-06,5.11E-06,,,
0.1416,2.25E-05,1.53E-05,8.90E-06,4.63E-06,,,
0.1424,2.18E-05,1.46E-05,8.28E-06,4.18E-06,,,
0.1432,2.12E-05,1.40E-05,7.71E-06,3.78E-06,,,
0.144,2.06E-05,1.33E-05,7.16E-06,3.40E-06,,,
0.1448,2.00E-05,1.27E-05,6.66E-06,3.06E-06,,,
0.1456,1.94E-05,1.21E-05,6.18E-06,2.76E-06,,,
0.1464,1.89E-05,1.16E-05,5.73E-06,2.47E-06,,,
0.1472,1.83E-05,1.10E-05,5.32E-06,2.22E-06,,,
0.148,1.78E-05,1.05E-05,4.93E-06,1.99E-06,,,
0.1488,1.73E-05,1.00E-05,4.56E-06,1.78E-06,,,
0.1496,1.68E-05,9.53E-06,4.22E-06,1.59E-06,,,
0.1504,1.64E-05,9.08E-06,3.90E-06,1.42E-06,,,
0.1512,1.59E-05,8.65E-06,3.61E-06,1.26E-06,,,
0.152,1.55E-05,8.23E-06,3.33E-06,1.13E-06,,,
0.1528,1.51E-05,7.84E-06,3.08E-06,1.00E-06,,,
0.1536,1.47E-05,7.46E-06,2.84E-06,8.89E-07,,,
0.1544,1.43E-05,7.10E-06,2.62E-06,7.89E-07,,,
0.1552,1.39E-05,6.76E-06,2.41E-06,6.99E-07,,,
0.156,1.35E-05,6.43E-06,2.22E-06,6.19E-07,,,
0.1568,1.32E-05,6.12E-06,2.04E-06,5.47E-07,,,
0.1576,1.28E-05,5.82E-06,1.88E-06,4.84E-07,,,
0.1584,1.25E-05,5.54E-06,1.73E-06,4.27E-07,,,
0.1592,1.21921E-05,5.26E-06,1.59E-06,3.76E-07,,,
