Strike,Mu = 5.0,Mu = 40.0,Mu = 90.0,Mu = 150.0
0.08,2.18E-01,2.18E-01,2.18E-01,2.18E-01
0.0808,2.19E-01,2.19E-01,2.19E-01,2.19E-01
0.0816,2.19E-01,2.19E-01,2.19E-01,2.19E-01
0.0824,2.20E-01,2.20E-01,2.20E-01,2.20E-01
0.0832,2.20E-01,2.20E-01,2.20E-01,2.20E-01
0.084,2.21E-01,2.21E-01,2.21E-01,2.21E-01
0.0848,2.21E-01,2.21E-01,2.21E-01,2.21E-01
0.0856,2.22E-01,2.22E-01,2.22E-01,2.22E-01
0.0864,2.23E-01,2.23E-01,2.23E-01,2.23E-01
0.0872,2.23E-01,2.23E-01,2.23E-01,2.23E-01
0.088,2.24E-01,2.24E-01,2.24E-01,2.24E-01
0.0888,2.24E-01,2.24E-01,2.24E-01,2.24E-01
0.0896,2.25E-01,2.25E-01,2.25E-01,2.25E-01
0.0904,2.26E-01,2.26E-01,2.26E-01,2.26E-01
0.0912,2.26E-01,2.26E-01,2.26E-01,2.26E-01
0.092,2.27E-01,2.27E-01,2.27E-01,2.27E-01
0.0928,2.27E-01,2.27E-01,2.27E-01,2.27E-01
0.0936,2.28E-01,2.28E-01,2.28E-01,2.28E-01
0.0944,2.29E-01,2.29E-01,2.29E-01,2.29E-01
0.0952,2.29E-01,2.29E-01,2.29E-01,2.29E-01
0.096,2.30E-01,2.30E-01,2.30E-01,2.30E-01
0.0968,2.31E-01,2.31E-01,2.31E-01,2.31E-01
0.0976,2.31E-01,2.31E-01,2.31E-01,2.31E-01
0.0984,2.32E-01,2.32E-01,2.32E-01,2.32E-01
0.0992,2.32E-01,2.32E-01,2.32E-01,2.32E-01
0.1,2.33E-01,2.33E-01,2.33E-01,2.33E-01
0.1008,2.34E-01,2.34E-01,2.34E-01,2.34E-01
0.1016,2.34E-01,2.34E-01,2.34E-01,2.34E-01
0.1024,2.35E-01,2.35E-01,2.35E-01,2.35E-01
0.1032,2.35E-01,2.35E-01,2.35E-01,2.35E-01
0.104,2.36E-01,2.36E-01,2.36E-01,2.36E-01
0.1048,2.37E-01,2.37E-01,2.37E-01,2.37E-01
0.1056,2.37E-01,2.37E-01,2.37E-01,2.37E-01
0.1064,2.38E-01,2.38E-01,2.38E-01,2.38E-01
0.1072,2.39E-01,2.38E-01,2.38E-01,2.38E-01
0.108,2.39E-01,2.39E-01,2.39E-01,2.39E-01
0.1088,2.40E-01,2.40E-01,2.39E-01,2.39E-01
0.1096,2.40E-01,2.40E-01,2.40E-01,2.39E-01
0.1104,2.41E-01,2.41E-01,2.40E-01,2.40E-01
0.1112,2.42E-01,2.41E-01,2.41E-01,2.40E-01
0.112,2.42E-01,2.42E-01,2.41E-01,2.40E-01
0.1128,2.43E-01,2.42E-01,2.41E-01,2.40E-01
0.1136,2.43E-01,2.43E-01,2.42E-01,2.41E-01
0.1144,2.44E-01,2.43E-01,2.42E-01,2.41E-01
0.1152,2.44E-01,2.44E-01,2.42E-01,2.41E-01
0.116,2.45E-01,2.44E-01,2.43E-01,2.41E-01
0.1168,2.46E-01,2.44E-01,2.43E-01,2.41E-01
0.1176,2.46E-01,2.45E-01,2.43E-01,2.41E-01
0.1184,2.47E-01,2.45E-01,2.43E-01,2.41E-01
0.1192,2.47E-01,2.46E-01,2.44E-01,2.41E-01
0.12,2.48E-01,2.46E-01,2.44E-01,2.41E-01
0.1208,2.48E-01,2.47E-01,2.44E-01,2.41E-01
0.1216,2.49E-01,2.47E-01,2.44E-01,2.41E-01
0.1224,2.50E-01,2.47E-01,2.44E-01,2.40E-01
0.1232,2.50E-01,2.48E-01,2.44E-01,2.40E-01
0.124,2.51E-01,2.48E-01,2.44E-01,2.40E-01
0.1248,2.51E-01,2.48E-01,2.44E-01,2.40E-01
0.1256,2.52E-01,2.49E-01,2.44E-01,2.39E-01
0.1264,2.52E-01,2.49E-01,2.44E-01,2.39E-01
0.1272,2.53E-01,2.49E-01,2.44E-01,2.39E-01
0.128,2.53E-01,2.49E-01,2.44E-01,2.38E-01
0.1288,2.54E-01,2.50E-01,2.44E-01,2.38E-01
0.1296,2.54E-01,2.50E-01,2.44E-01,2.37E-01
0.1304,2.55E-01,2.50E-01,2.44E-01,2.37E-01
0.1312,2.55E-01,2.50E-01,2.44E-01,2.36E-01
0.132,2.56E-01,2.51E-01,2.44E-01,2.36E-01
0.1328,2.56E-01,2.51E-01,2.43E-01,2.35E-01
0.1336,2.57E-01,2.51E-01,2.43E-01,2.35E-01
0.1344,2.57E-01,2.51E-01,2.43E-01,2.34E-01
0.1352,2.58E-01,2.51E-01,2.43E-01,2.34E-01
0.136,2.58E-01,2.52E-01,2.43E-01,2.33E-01
0.1368,2.59E-01,2.52E-01,2.43E-01,2.32E-01
0.1376,2.59E-01,2.52E-01,2.42E-01,2.32E-01
0.1384,2.60E-01,2.52E-01,2.42E-01,2.31E-01
0.1392,2.60E-01,2.52E-01,2.42E-01,2.31E-01
0.14,2.61E-01,2.52E-01,2.42E-01,2.30E-01
0.1408,2.61E-01,2.53E-01,2.41E-01,2.29E-01
0.1416,2.62E-01,2.53E-01,2.41E-01,2.29E-01
0.1424,2.62E-01,2.53E-01,2.41E-01,2.28E-01
0.1432,2.63E-01,2.53E-01,2.40E-01,2.27E-01
0.144,2.63E-01,2.53E-01,2.40E-01,2.27E-01
0.1448,2.64E-01,2.53E-01,2.40E-01,2.26E-01
0.1456,2.64E-01,2.53E-01,2.39E-01,2.25E-01
0.1464,2.65E-01,2.53E-01,2.39E-01,2.24E-01
0.1472,2.65E-01,2.53E-01,2.39E-01,2.24E-01
0.148,2.65E-01,2.53E-01,2.38E-01,2.23E-01
0.1488,2.66E-01,2.53E-01,2.38E-01,2.22E-01
0.1496,2.66E-01,2.53E-01,2.38E-01,2.22E-01
0.1504,2.67E-01,2.54E-01,2.37E-01,2.21E-01
0.1512,2.67E-01,2.54E-01,2.37E-01,2.20E-01
0.152,2.68E-01,2.54E-01,2.36E-01,2.19E-01
0.1528,2.68E-01,2.54E-01,2.36E-01,2.19E-01
0.1536,2.69E-01,2.54E-01,2.36E-01,2.18E-01
0.1544,2.69E-01,2.54E-01,2.35E-01,2.17E-01
0.1552,2.69E-01,2.54E-01,2.35E-01,2.17E-01
0.156,2.70E-01,2.54E-01,2.34E-01,2.16E-01
0.1568,2.70E-01,2.54E-01,2.34E-01,2.15E-01
0.1576,2.71E-01,2.54E-01,2.34E-01,2.14E-01
0.1584,2.71E-01,2.54E-01,2.33E-01,2.14E-01
0.1592,2.72E-01,2.54E-01,2.33E-01,2.13E-01
