Scheme,Identifier Value,Field,Value
#Equity
OG_SYNTHETIC_TICKER,HD,PX_LAST,35.625
OG_SYNTHETIC_TICKER,ARG,PX_LAST,68.5
OG_SYNTHETIC_TICKER,IPG,PX_LAST,12.1
OG_SYNTHETIC_TICKER,RSG,PX_LAST,29.53
OG_SYNTHETIC_TICKER,M,PX_LAST,29.19
OG_SYNTHETIC_TICKER,LEG,PX_LAST,22.6
OG_SYNTHETIC_TICKER,TMO,PX_LAST,60.03
OG_SYNTHETIC_TICKER,GCI,PX_LAST,13.11
OG_SYNTHETIC_TICKER,AIZ,PX_LAST,34.89
OG_SYNTHETIC_TICKER,MOT,PX_LAST,44.32
OG_SYNTHETIC_TICKER,ETFC,PX_LAST,15.495
OG_SYNTHETIC_TICKER,GPC,PX_LAST,53.33
OG_SYNTHETIC_TICKER,NWL,PX_LAST,14.68
OG_SYNTHETIC_TICKER,ED,PX_LAST,53.18
OG_SYNTHETIC_TICKER,LUK,PX_LAST,33.02
OG_SYNTHETIC_TICKER,YHOO,PX_LAST,13.585
OG_SYNTHETIC_TICKER,SHLD,PX_LAST,70.81
OG_SYNTHETIC_TICKER,AET,PX_LAST,41.72
OG_SYNTHETIC_TICKER,DNB,PX_LAST,72.76
OG_SYNTHETIC_TICKER,ANF,PX_LAST,73.6
OG_SYNTHETIC_TICKER,COH,PX_LAST,64.05
OG_SYNTHETIC_TICKER,LUV,PX_LAST,9.94
OG_SYNTHETIC_TICKER,LLTC,PX_LAST,30.1
OG_SYNTHETIC_TICKER,YUM,PX_LAST,52.4
OG_SYNTHETIC_TICKER,NEE,PX_LAST,56.65
OG_SYNTHETIC_TICKER,S,PX_LAST,5.16
OG_SYNTHETIC_TICKER,MCO,PX_LAST,35.45
OG_SYNTHETIC_TICKER,KO,PX_LAST,68.69
OG_SYNTHETIC_TICKER,FO,PX_LAST,61.06
OG_SYNTHETIC_TICKER,ADBE,PX_LAST,28.5
OG_SYNTHETIC_TICKER,LTD,PX_LAST,37.48
OG_SYNTHETIC_TICKER,BDX,PX_LAST,83.49
OG_SYNTHETIC_TICKER,SIAL,PX_LAST,68.16
OG_SYNTHETIC_TICKER,HBAN,PX_LAST,5.995
OG_SYNTHETIC_TICKER,AMD,PX_LAST,7.51
OG_SYNTHETIC_TICKER,DE,PX_LAST,79.42
OG_SYNTHETIC_TICKER,EQT,PX_LAST,61.21
OG_SYNTHETIC_TICKER,HPQ,PX_LAST,36.8
OG_SYNTHETIC_TICKER,L,PX_LAST,40.12
OG_SYNTHETIC_TICKER,KEY,PX_LAST,8.1
