Scheme,Identifier Value,Field,Value
#Equity
OG_SYNTHETIC_TICKER,HD,Market_Value,35.625
OG_SYNTHETIC_TICKER,ARG,Market_Value,68.5
OG_SYNTHETIC_TICKER,IPG,Market_Value,12.1
OG_SYNTHETIC_TICKER,RSG,Market_Value,29.53
OG_SYNTHETIC_TICKER,M,Market_Value,29.19
OG_SYNTHETIC_TICKER,LEG,Market_Value,22.6
OG_SYNTHETIC_TICKER,TMO,Market_Value,60.03
OG_SYNTHETIC_TICKER,GCI,Market_Value,13.11
OG_SYNTHETIC_TICKER,AIZ,Market_Value,34.89
OG_SYNTHETIC_TICKER,MOT,Market_Value,44.32
OG_SYNTHETIC_TICKER,ETFC,Market_Value,15.495
OG_SYNTHETIC_TICKER,GPC,Market_Value,53.33
OG_SYNTHETIC_TICKER,NWL,Market_Value,14.68
OG_SYNTHETIC_TICKER,ED,Market_Value,53.18
OG_SYNTHETIC_TICKER,LUK,Market_Value,33.02
OG_SYNTHETIC_TICKER,YHOO,Market_Value,13.585
OG_SYNTHETIC_TICKER,SHLD,Market_Value,70.81
OG_SYNTHETIC_TICKER,AET,Market_Value,41.72
OG_SYNTHETIC_TICKER,DNB,Market_Value,72.76
OG_SYNTHETIC_TICKER,ANF,Market_Value,73.6
OG_SYNTHETIC_TICKER,COH,Market_Value,64.05
OG_SYNTHETIC_TICKER,LUV,Market_Value,9.94
OG_SYNTHETIC_TICKER,LLTC,Market_Value,30.1
OG_SYNTHETIC_TICKER,YUM,Market_Value,52.4
OG_SYNTHETIC_TICKER,NEE,Market_Value,56.65
OG_SYNTHETIC_TICKER,S,Market_Value,5.16
OG_SYNTHETIC_TICKER,MCO,Market_Value,35.45
OG_SYNTHETIC_TICKER,KO,Market_Value,68.69
OG_SYNTHETIC_TICKER,FO,Market_Value,61.06
OG_SYNTHETIC_TICKER,ADBE,Market_Value,28.5
OG_SYNTHETIC_TICKER,LTD,Market_Value,37.48
OG_SYNTHETIC_TICKER,BDX,Market_Value,83.49
OG_SYNTHETIC_TICKER,SIAL,Market_Value,68.16
OG_SYNTHETIC_TICKER,HBAN,Market_Value,5.995
OG_SYNTHETIC_TICKER,AMD,Market_Value,7.51
OG_SYNTHETIC_TICKER,DE,Market_Value,79.42
OG_SYNTHETIC_TICKER,EQT,Market_Value,61.21
OG_SYNTHETIC_TICKER,HPQ,Market_Value,36.8
OG_SYNTHETIC_TICKER,L,Market_Value,40.12
OG_SYNTHETIC_TICKER,KEY,Market_Value,8.1
OG_SYNTHETIC_TICKER,CPB,Market_Value,33.24
OG_SYNTHETIC_TICKER,NBL,Market_Value,95.33
OG_SYNTHETIC_TICKER,HAR,Market_Value,42.9
OG_SYNTHETIC_TICKER,TXT,Market_Value,23.49
OG_SYNTHETIC_TICKER,GWW,Market_Value,148.76
OG_SYNTHETIC_TICKER,BF/B,Market_Value,74.11
OG_SYNTHETIC_TICKER,BAX,Market_Value,59.23
OG_SYNTHETIC_TICKER,OKE,Market_Value,73.84
OG_SYNTHETIC_TICKER,PKI,Market_Value,24.91
OG_SYNTHETIC_TICKER,SRE,Market_Value,51.44
OG_SYNTHETIC_TICKER,ABC,Market_Value,39.01
OG_SYNTHETIC_TICKER,WFR,Market_Value,7.57
OG_SYNTHETIC_TICKER,RF,Market_Value,6.13
OG_SYNTHETIC_TICKER,MAT,Market_Value,26.72
OG_SYNTHETIC_TICKER,PBI,Market_Value,21.78
OG_SYNTHETIC_TICKER,SYY,Market_Value,30.81
OG_SYNTHETIC_TICKER,MHS,Market_Value,63.12
OG_SYNTHETIC_TICKER,DO,Market_Value,69.22
OG_SYNTHETIC_TICKER,IFF,Market_Value,61.17
OG_SYNTHETIC_TICKER,RRC,Market_Value,64.3
OG_SYNTHETIC_TICKER,FIS,Market_Value,29.99
OG_SYNTHETIC_TICKER,MMM,Market_Value,88.08
OG_SYNTHETIC_TICKER,APA,Market_Value,124.52
OG_SYNTHETIC_TICKER,LH,Market_Value,90.16
OG_SYNTHETIC_TICKER,NRG,Market_Value,25.12
OG_SYNTHETIC_TICKER,CBG,Market_Value,22.92
OG_SYNTHETIC_TICKER,DPS,Market_Value,38.63
OG_SYNTHETIC_TICKER,WY,Market_Value,20.1
OG_SYNTHETIC_TICKER,DD,Market_Value,52.28
OG_SYNTHETIC_TICKER,ALL,Market_Value,27.63
OG_SYNTHETIC_TICKER,NDAQ,Market_Value,23.5
OG_SYNTHETIC_TICKER,MU,Market_Value,7.43
OG_SYNTHETIC_TICKER,WM,Market_Value,35.51
OG_SYNTHETIC_TICKER,AIV,Market_Value,26.8
OG_SYNTHETIC_TICKER,BMS,Market_Value,32.14
OG_SYNTHETIC_TICKER,PSA,Market_Value,119.19
OG_SYNTHETIC_TICKER,MMC,Market_Value,29.56
OG_SYNTHETIC_TICKER,OI,Market_Value,25.86
OG_SYNTHETIC_TICKER,PLD,Market_Value,34.25
OG_SYNTHETIC_TICKER,HRB,Market_Value,15.03
OG_SYNTHETIC_TICKER,VZ,Market_Value,36.21
OG_SYNTHETIC_TICKER,XRAY,Market_Value,37.43
OG_SYNTHETIC_TICKER,RTN,Market_Value,44.98
OG_SYNTHETIC_TICKER,CSX,Market_Value,24.68
OG_SYNTHETIC_TICKER,XRX,Market_Value,9.58
OG_SYNTHETIC_TICKER,JNJ,Market_Value,65.23
OG_SYNTHETIC_TICKER,FTR,Market_Value,7.51
OG_SYNTHETIC_TICKER,AIG,Market_Value,29.1
OG_SYNTHETIC_TICKER,AEE,Market_Value,29.77
OG_SYNTHETIC_TICKER,GR,Market_Value,94.38
OG_SYNTHETIC_TICKER,TWX,Market_Value,36.25
OG_SYNTHETIC_TICKER,CLX,Market_Value,73.63
OG_SYNTHETIC_TICKER,FAST,Market_Value,33.27
OG_SYNTHETIC_TICKER,APC,Market_Value,82.39
OG_SYNTHETIC_TICKER,FMC,Market_Value,88.63
OG_SYNTHETIC_TICKER,CFN,Market_Value,26.69
OG_SYNTHETIC_TICKER,STT,Market_Value,41.61
OG_SYNTHETIC_TICKER,CRM,Market_Value,145.39
OG_SYNTHETIC_TICKER,ATI,Market_Value,60.73
OG_SYNTHETIC_TICKER,PBCT,Market_Value,13.01
OG_SYNTHETIC_TICKER,AZO,Market_Value,289.15
OG_SYNTHETIC_TICKER,FTI,Market_Value,44.61
OG_SYNTHETIC_TICKER,MTB,Market_Value,87.14
OG_SYNTHETIC_TICKER,RDC,Market_Value,38.69
OG_SYNTHETIC_TICKER,FII,Market_Value,21.29
OG_SYNTHETIC_TICKER,EOG,Market_Value,104.07
OG_SYNTHETIC_TICKER,KLAC,Market_Value,41.77
OG_SYNTHETIC_TICKER,KG,Market_Value,14.24
OG_SYNTHETIC_TICKER,LEN,Market_Value,17.46
OG_SYNTHETIC_TICKER,GLW,Market_Value,16.04
