101010,Energy Equipment & Services
101020,"Oil, Gas & Consumable Fuels"
151010,Chemicals
151020,Construction Materials
151030,Containers & Packaging
151040,Metals & Mining
151050,Paper & Forest Products
201010,Aerospace & Defense
201020,Building Products
201030,Construction & Engineering
201040,Electrical Equipment
201050,Industrial Conglomerates
201060,Machinery
201070,Trading Companies & Distributors
202010,Commercial Services & Supplies
202020,Professional Services
203010,Air Freight & Logistics
203020,Airlines
203030,Marine
203040,Road & Rail
203050,Transportation Infrastructure
251010,Auto Components
251020,Automobiles
252010,Household Durables
252020,Leisure Equipment & Products
252030,"Textiles, Apparel & Luxury Goods"
253010,"Hotels, Restaurants & Leisure"
253020,Diversified Consumer Services
254010,Media
255010,Distributors
255020,Internet & Catalog Retail
255030,Multiline Retail
255040,Specialty Retail
301010,Food & Staples Retailing
302010,Beverages
302020,Food Products
302030,Tobacco
303010,Household Products
303020,Personal Products
351010,Health Care Equipment & Supplies
351020,Health Care Providers & Services
351030,Health Care Technology
352010,Biotechnology
352020,Pharmaceuticals
352030,Life Sciences Tools & Services
401010,Commercial Banks
401020,Thrifts & Mortgage Finance
402010,Diversified Financial Services
402020,Consumer Finance
402030,Capital Markets
403010,Insurance
404010,Real Estate -- Discontinued effective 04/28/2006
404020,Real Estate Investment Trusts (REITs)
404030,Real Estate Management & Development
451010,Internet Software & Services
451020,IT Services
451030,Software
452010,Communications Equipment
452020,Computers & Peripherals
452030,"Electronic Equipment, Instruments & Components"
452040,Office Electronics
452050,Semiconductor Equipment & Products -- Discontinued effective 04/30/2003.
453010,Semiconductors & Semiconductor Equipment
501010,Diversified Telecommunication Services
501020,Wireless Telecommunication Services
551010,Electric Utilities
551020,Gas Utilities
551030,Multi-Utilities
551040,Water Utilities
551050,Independent Power Producers & Energy Traders
