ticker,quantity,counterparty,trade date,premiumcurrency,premium,premiumdate
AAPL US Equity,200000,cpty1,12/31/2013,USD,550,12/31/2013
ACE US Equity,150000,cpty2,12/31/2013,USD,100,12/31/2013
PG US 07/19/14 C82.5 Equity,100000,cpty3,12/31/2013,USD,2.51,12/31/2013
EDZ4P 103.750 Comdty,350000,cpty5,12/31/2013,USD,4.18,12/31/2013
EFZ4 Comdty,78000,cpty6,12/31/2013,USD,99.78,12/31/2013
EI5801127,56000,cpty7,12/31/2013,USD,106.834,12/31/2013
912828JR2,2000000,cpty8,12/31/2013,USD,109.2725,12/31/2013
EC4532734,1000000,cpty9,12/31/2013,USD,117.018,12/31/2013
,,,,,,
,,,,,,
,,,,,,
