1968-01-01,1968-07-04,1968-12-25
1969-01-01,1969-07-04,1969-12-25
1970-01-01,1970-07-04,1970-12-25
1971-01-01,1971-02-15,1971-05-31,1971-07-05,1971-09-06,1971-10-11,1971-10-25,1971-11-25,1971-12-25
1972-01-01,1972-02-21,1972-05-29,1972-07-04,1972-09-04,1972-10-09,1972-10-23,1972-11-23,1972-12-25
1973-01-01,1973-02-19,1973-05-28,1973-07-04,1973-09-03,1973-10-08,1973-10-22,1973-11-22,1973-12-25
1974-01-01,1974-02-18,1974-05-27,1974-07-04,1974-09-02,1974-10-14,1974-10-28,1974-11-28,1974-12-25
1975-01-01,1975-02-17,1975-05-26,1975-07-04,1975-09-01,1975-10-13,1975-10-27,1975-11-27,1975-12-25
1976-01-01,1976-02-16,1976-05-31,1976-07-05,1976-09-06,1976-10-11,1976-10-25,1976-11-25,1976-12-25
1977-01-01,1977-02-21,1977-05-30,1977-07-04,1977-09-05,1977-10-10,1977-10-24,1977-11-24,1977-12-26
1978-01-02,1978-02-20,1978-05-29,1978-07-04,1978-09-04,1978-10-09,1978-11-11,1978-11-23,1978-12-25
1979-01-01,1979-02-19,1979-05-28,1979-07-04,1979-09-03,1979-10-08,1979-11-12,1979-11-22,1979-12-25
1980-01-01,1980-02-18,1980-05-26,1980-07-04,1980-09-01,1980-10-13,1980-11-11,1980-11-27,1980-12-25
1981-01-01,1981-02-16,1981-05-25,1981-07-04,1981-09-07,1981-10-12,1981-11-11,1981-11-26,1981-12-25
1982-01-01,1982-02-15,1982-05-31,1982-07-05,1982-09-06,1982-10-11,1982-11-11,1982-11-25,1982-12-25
1983-01-01,1983-02-21,1983-05-30,1983-07-04,1983-09-05,1983-10-10,1983-11-11,1983-11-24,1983-12-26
1984-01-02,1984-02-20,1984-05-28,1984-07-04,1984-09-03,1984-10-08,1984-11-12,1984-11-22,1984-12-25
1985-01-01,1985-02-18,1985-05-27,1985-07-04,1985-09-02,1985-10-14,1985-11-11,1985-11-28,1985-12-25
1986-01-01,1986-01-20,1986-02-17,1986-05-26,1986-07-04,1986-09-01,1986-10-13,1986-11-11,1986-11-27,1986-12-25
1987-01-01,1987-01-19,1987-02-16,1987-05-25,1987-07-04,1987-09-07,1987-10-12,1987-11-11,1987-11-26,1987-12-25
1988-01-01,1988-01-18,1988-02-15,1988-05-30,1988-07-04,1988-09-05,1988-10-10,1988-11-11,1988-11-24,1988-12-26
1989-01-02,1989-01-16,1989-02-20,1989-05-29,1989-07-04,1989-09-04,1989-10-09,1989-11-11,1989-11-23,1989-12-25
1990-01-01,1990-01-15,1990-02-19,1990-05-28,1990-07-04,1990-09-03,1990-10-08,1990-11-12,1990-11-22,1990-12-25
1991-01-01,1991-01-21,1991-02-18,1991-05-27,1991-07-04,1991-09-02,1991-10-14,1991-11-11,1991-11-28,1991-12-25
1992-01-01,1992-01-20,1992-02-17,1992-05-25,1992-07-04,1992-09-07,1992-10-12,1992-11-11,1992-11-26,1992-12-25
1993-01-01,1993-01-18,1993-02-15,1993-05-31,1993-07-05,1993-09-06,1993-10-11,1993-11-11,1993-11-25,1993-12-25
1994-01-01,1994-01-17,1994-02-21,1994-05-30,1994-07-04,1994-09-05,1994-10-10,1994-11-11,1994-11-24,1994-12-26
1995-01-02,1995-01-16,1995-02-20,1995-05-29,1995-07-04,1995-09-04,1995-10-09,1995-11-11,1995-11-23,1995-12-25
1996-01-01,1996-01-15,1996-02-19,1996-05-27,1996-07-04,1996-09-02,1996-10-14,1996-11-11,1996-11-28,1996-12-25
1997-01-01,1997-01-20,1997-02-17,1997-05-26,1997-07-04,1997-09-01,1997-10-13,1997-11-11,1997-11-27,1997-12-25
